RIC
A.N
AAPL.OQ
ABBV.N
ABNB.OQ
ABT.N
ACGL.OQ
ACN.N
ADBE.OQ
ADI.OQ
ADM.N
ADP.OQ
ADSK.OQ
AEE.N
AEP.OQ
AES.N
AFL.N
AIG.N
AIZ.N
AJG.N
AKAM.OQ
ALB.N
ALGN.OQ
ALL.N
ALLE.N
AMAT.OQ
AMCR.N
AMD.OQ
AME.N
AMGN.OQ
AMP.N
AMT.N
AMZN.OQ
ANET.N
AON.N
AOS.N
APA.OQ
APD.N
APH.N
APO.N
APTV.N
ARE.N
ATO.N
AVB.N
AVGO.OQ
AVY.N
AWK.N
AXON.OQ
AXP.N
AZO.N
BA.N
BAC.N
BALL.N
BAX.N
BBY.N
BDX.N
BEN.N
BFb.N
BG.N
BIIB.OQ
BK.N
BKNG.OQ
BKR.OQ
BLDR.N
BLK.N
BMY.N
BR.N
BRKb.N
BRO.N
BSX.N
BX.N
BXP.N
C.N
CAG.N
CAH.N
CARR.N
CAT.N
CB.N
CBOE.Z
CBRE.N
CCI.N
CCL.N
CDNS.OQ
CDW.OQ
CEG.OQ
CF.N
CFG.N
CHD.N
CHRW.OQ
CHTR.OQ
CI.N
CINF.OQ
CL.N
CLX.N
CMCSA.OQ
CME.OQ
CMG.N
CMI.N
CMS.N
CNC.N
CNP.N
COF.N
COIN.OQ
COO.OQ
COP.N
COR.N
COST.OQ
CPAY.N
CPB.OQ
CPRT.OQ
CPT.N
CRL.N
CRM.N
CRWD.OQ
CSCO.OQ
CSGP.OQ
CSX.OQ
CTAS.OQ
CTRA.N
CTSH.OQ
CTVA.N
CVS.N
CVX.N
CZR.OQ
D.N
DAL.N
DASH.OQ
DAY.N
DD.N
DDOG.OQ
DE.N
DECK.N
DELL.N
DG.N
DGX.N
DHI.N
DHR.N
DIS.N
DLR.N
DLTR.OQ
DOC.N
DOV.N
DOW.N
DPZ.OQ
DRI.N
DTE.N
DUK.N
DVA.N
DVN.N
DXCM.OQ
EA.OQ
EBAY.OQ
ECL.N
ED.N
EFX.N
EG.N
EIX.N
EL.N
ELV.N
EMN.N
EMR.N
ENPH.OQ
EOG.N
EPAM.N
EQIX.OQ
EQR.N
EQT.N
ERIE.OQ
ES.N
ESS.N
ETN.N
ETR.N
EVRG.OQ
EW.N
EXC.OQ
EXE.OQ
EXPD.N
EXPE.OQ
EXR.N
F.N
FANG.OQ
FAST.OQ
FCX.N
FDS.N
FDX.N
FE.N
FFIV.OQ
FI.N
FICO.N
FIS.N
FITB.OQ
FOX.OQ
FOXA.OQ
FRT.N
FSLR.OQ
FTNT.OQ
FTV.N
GD.N
GDDY.N
GE.N
GEHC.OQ
GEN.OQ
GEV.N
GILD.OQ
GIS.N
GL.N
GLW.N
GM.N
GNRC.N
GOOG.OQ
GOOGL.OQ
GPC.N
GPN.N
GRMN.N
GS.N
GWW.N
HAL.N
HAS.OQ
HBAN.OQ
HCA.N
HD.N
HIG.N
HII.N
HLT.N
HOLX.OQ
HON.OQ
HPE.N
HPQ.N
HRL.N
HSIC.OQ
HST.OQ
HSY.N
HUBB.N
HUM.N
HWM.N
IBM.N
ICE.N
IDXX.OQ
IEX.N
IFF.N
INCY.OQ
INTC.OQ
INTU.OQ
INVH.N
IP.N
IPG.N
IQV.N
IR.N
IRM.N
ISRG.OQ
IT.N
ITW.N
IVZ.N
J.N
JBHT.OQ
JBL.N
JCI.N
JKHY.OQ
JNJ.N
JPM.N
K.N
KDP.OQ
KEY.N
KEYS.N
KHC.OQ
KIM.N
KKR.N
KLAC.OQ
KMB.OQ
KMI.N
KMX.N
KO.N
KR.N
KVUE.N
L.N
LDOS.N
LEN.N
LH.N
LHX.N
LII.N
LIN.OQ
LKQ.OQ
LLY.N
LMT.N
LNT.OQ
LOW.N
LRCX.OQ
LULU.OQ
LUV.N
LVS.N
LW.N
LYB.N
LYV.N
MA.N
MAA.N
MAR.OQ
MAS.N
MCD.N
MCHP.OQ
MCK.N
MCO.N
MDLZ.OQ
MDT.N
MET.N
META.OQ
MGM.N
MHK.N
MKC.N
MKTX.OQ
MLM.N
MMC.N
MMM.N
MNST.OQ
MO.N
MOH.N
MOS.N
MPC.N
MPWR.OQ
MRK.N
MRNA.OQ
MS.N
MSCI.N
MSFT.OQ
MSI.N
MTB.N
MTCH.OQ
MTD.N
MU.OQ
NCLH.N
NDAQ.OQ
NDSN.OQ
NEE.N
NEM.N
NFLX.OQ
NI.N
NKE.N
NOC.N
NOW.N
NRG.N
NSC.N
NTAP.OQ
NTRS.OQ
NUE.N
NVDA.OQ
NVR.N
NWS.OQ
NWSA.OQ
NXPI.OQ
O.N
ODFL.OQ
OKE.N
OMC.N
ON.OQ
ORCL.N
ORLY.OQ
OTIS.N
OXY.N
PANW.OQ
PAYC.N
PAYX.OQ
PCAR.OQ
PCG.N
PEG.N
PEP.OQ
PFE.N
PFG.OQ
PG.N
PGR.N
